"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1747.37294538546
"FDW14","OUT017",1476.05759947241
"NCN55","OUT010",867.642969192996
"FDQ58","OUT017",2677.24351188319
"FDY38","OUT027",6373.45830708117
"FDH56","OUT046",1930.1967326197
"FDL48","OUT018",707.038429802926
"FDC48","OUT027",2203.62596869839
"FDN33","OUT045",1491.18409391566
"FDA36","OUT017",3199.25908090637
"FDT44","OUT017",2012.71993992757
"FDQ56","OUT045",1371.72091345198
"NCC54","OUT019",908.721550537013
"FDU11","OUT049",2045.55417602675
"DRL59","OUT013",840.626315517532
"FDM24","OUT049",2547.36377762678
"FDI57","OUT045",3456.67887075822
"DRC12","OUT018",2813.22379075882
"NCM42","OUT027",2936.25402318486
"FDA46","OUT010",713.324988469563
"FDA31","OUT013",2940.63203654009
"NCJ31","OUT035",3991.20964523338
"FDG52","OUT046",771.467997273607
"NCL19","OUT019",571.098121800719
"FDS10","OUT035",3135.61979651907
"FDX22","OUT010",751.85976401014
"NCF19","OUT035",786.342697555676
"NCE06","OUT046",2654.56707503913
"DRC27","OUT046",4039.76659688056
"FDE21","OUT035",1991.65087405169
"NCR42","OUT019",118.516678690046
"FDX51","OUT018",2902.48457738459
"NCR06","OUT018",576.252274619196
"FDU31","OUT027",6243.85306971427
"FDU59","OUT017",2820.73319140673
"FDR03","OUT027",5497.5235862885
"FDS49","OUT027",2194.67386118902
"FDD48","OUT010",393.589167230954
"NCF18","OUT017",3333.76992913217
"NCD43","OUT027",2765.69774937064
"NCD54","OUT018",2053.94384703595
"FDY19","OUT010",427.012651404472
"NCY54","OUT017",3009.60885556297
"NCL19","OUT018",2128.69105699922
"FDP23","OUT010",779.580117383915
"FDC26","OUT013",1845.27010301217
"FDR14","OUT010",176.195693901935
"NCS41","OUT035",3179.49686998039
"FDF41","OUT035",4226.68414957343
"FDU34","OUT046",2045.11862572767
"DRH11","OUT046",918.235083704858
"FDM03","OUT013",1714.73764732907
"FDS31","OUT017",3190.54300894408
"FDJ20","OUT017",2080.61526217746
"FDV44","OUT027",5364.84263981285
"FDG02","OUT049",3159.40430458266
"FDA09","OUT013",3043.46577306232
"FDT04","OUT013",623.486815665851
"FDL58","OUT019",1062.30104729354
"FDE52","OUT045",1444.18985797344
"FDW12","OUT035",2499.80958583548
"FDL51","OUT017",3692.7412506399
"NCY42","OUT027",3780.81905927374
"FDR07","OUT017",1652.10228114264
"FDN40","OUT045",2478.30433143395
"FDB35","OUT027",2458.82253539935
"FDA22","OUT017",2886.63030434073
"NCL06","OUT046",4372.22817861518
"FDI35","OUT013",3113.26451903402
"NCW42","OUT045",3598.10013323086
"NCX06","OUT049",3031.16314083208
"FDC37","OUT027",2896.17107419426
"FDZ14","OUT018",1753.06922125989
"DRG49","OUT049",4375.25995396962
"NCG06","OUT045",4335.97858633087
"DRC36","OUT045",3000.46308947594
"FDV21","OUT019",454.875696774915
"FDB53","OUT046",2427.94352405487
"DRP47","OUT019",791.712978264983
"FDA14","OUT013",2446.01054506635
"DRC24","OUT035",2625.80342316669
"FDW21","OUT018",1388.87440066765
"NCH29","OUT046",1594.3249319523
"FDU58","OUT013",3196.32511452347
"FDY27","OUT017",3112.37872191119
"FDV56","OUT035",1851.19190598703
"FDT59","OUT046",3759.7335759627
"FDB23","OUT046",3684.83876587121
"FDR49","OUT045",725.566850540404
"FDB03","OUT010",815.458736042597
"FDN39","OUT045",2680.91910107938
"FDX02","OUT027",6071.70745005087
"FDQ16","OUT027",2885.39413064971
"FDU35","OUT018",1424.93924800958
"NCT29","OUT013",2010.19051884417
"FDZ27","OUT046",776.891276671918
"FDN57","OUT017",2373.58787185676
"FDA03","OUT018",2142.80082538325
"FDZ36","OUT045",3089.85755128511
"NCU05","OUT013",1335.75250367465
"FDT39","OUT018",2142.85105702989
"FDK60","OUT017",1643.18786644489
"FDZ25","OUT017",2985.72901136497
"FDG12","OUT046",1935.33358489592
"DRB01","OUT019",806.148963133188
"NCC43","OUT027",6599.86659360416
"FDX13","OUT019",1057.26798222766
"FDM22","OUT049",876.120481947406
"FDJ03","OUT027",1294.73432703918
"FDU14","OUT018",3647.76670256917
"FDB33","OUT010",634.307246325449
"FDP27","OUT046",3180.78933421046
"FDO38","OUT010",272.722690467978
"FDE28","OUT027",6288.20284130988
"FDO27","OUT035",1560.63623822655
"DRL23","OUT027",2766.87119572043
"FDS28","OUT046",904.278226019881
"FDX24","OUT013",1521.27663105621
"FDZ02","OUT035",1612.5406027507
"FDL46","OUT045",1866.59456517041
"FDS60","OUT027",4976.23070192072
"NCO06","OUT017",545.184885163016
"FDO16","OUT035",1429.04183309782
"FDC60","OUT049",1460.89700949379
"FDA48","OUT018",3184.7558013251
"FDZ36","OUT027",5073.87370299734
"FDK27","OUT045",1883.87157675174
"FDW23","OUT018",547.760960465802
"FDM14","OUT018",1586.82020232534
"FDM14","OUT013",1790.24200584417
"FDW60","OUT018",2566.47553348329
"FDE21","OUT013",1957.98149359111
"NCM42","OUT035",1830.37244594026
"FDY59","OUT010",337.734317838322
"DRI49","OUT049",1371.78051171789
"FDT28","OUT019",618.210569583397
"FDQ22","OUT018",558.567612899431
"FDR60","OUT049",1271.25825731432
"FDC50","OUT019",354.833523928865
"FDV24","OUT013",2509.74095717875
"DRF48","OUT010",768.000189579528
"FDQ47","OUT046",568.169434461449
"DRN36","OUT049",1678.41485855263
"NCY06","OUT035",2151.72737254999
"FDE52","OUT035",1498.40585947841
"NCB54","OUT045",2033.42618923341
"NCF31","OUT035",2585.49090612709
"FDJ08","OUT027",5395.14088930104
"NCC07","OUT017",1820.32075539265
"NCD19","OUT027",1450.03416013545
"FDL46","OUT049",1989.30677962178
"FDM20","OUT045",4022.28777508559
"NCI06","OUT010",709.895968922976
"DRM11","OUT035",4279.77024911549
"NCH07","OUT018",2281.84299092246
"FDS23","OUT013",2116.5590388616
"FDO49","OUT018",679.104885496952
"FDS35","OUT049",1091.81026419701
"DRK39","OUT045",1317.18849877369
"DRI39","OUT049",962.45460677974
"FDV04","OUT017",2730.98013361294
"NCN14","OUT035",3167.35216795472
"FDH08","OUT013",3811.75354291696
"FDS20","OUT046",3103.82309430721
"FDV40","OUT049",1259.58246098766
"FDZ48","OUT010",369.060225471282
"FDS24","OUT027",2381.85884689338
"FDK44","OUT049",2909.07746622636
"FDS48","OUT045",2433.32216527464
"FDK26","OUT010",754.696386287438
"FDD23","OUT045",3170.96584511448
"NCH54","OUT017",2763.83045407259
"NCP14","OUT010",344.006991972031
"FDM60","OUT010",133.169862563105
"FDV24","OUT017",2589.48658047119
"FDH08","OUT018",3285.88120618157
"FDS12","OUT027",3369.48503849183
"FDR39","OUT027",5028.09578277401
"FDP12","OUT027",913.237033488441
"DRF60","OUT027",6715.76047945876
"FDC09","OUT035",1729.54499351898
"FDF50","OUT018",2892.4763459688
"FDG28","OUT035",4147.72643394053
"NCE19","OUT017",921.109873832195
"NCM53","OUT010",373.603447108795
"NCN18","OUT049",1855.6422810645
"FDF32","OUT035",3406.89103279393
"FDF11","OUT013",3981.33144850468
"DRI59","OUT049",3652.40269926573
"NCG54","OUT035",2871.96082625271
"FDM44","OUT046",1670.69018389289
"FDT57","OUT018",3411.65140723452
"FDV24","OUT046",2487.05190416032
"FDI50","OUT019",968.921754240937
"FDS09","OUT035",845.766797938984
"NCC31","OUT027",4115.25419181895
"FDQ07","OUT019",882.555727958903
"FDC22","OUT017",3318.51855839316
"FDZ56","OUT046",2802.89657049334
"FDZ40","OUT019",204.840638859857
"FDS46","OUT027",3168.79080552844
"DRD24","OUT045",2375.80281294232
"FDV45","OUT017",3314.24467653981
"FDL26","OUT045",2519.45746316047
"FDA56","OUT018",1710.76136170082
"FDN27","OUT046",1935.02685476273
"FDM20","OUT049",4156.49032677738
"FDO16","OUT017",1412.86563632415
"FDL03","OUT035",3360.22678418271
"FDE58","OUT046",1915.8961213686
"FDI02","OUT027",3015.59606188424
"NCC55","OUT019",147.695472149679
"FDR03","OUT018",2892.77572455435
"FDB14","OUT017",1608.58614069236
"FDR45","OUT013",3998.0667217708
"NCN07","OUT017",2198.00558369623
"FDM51","OUT019",410.298215357141
"FDT52","OUT027",6664.1835683038
"FDL26","OUT046",2553.92414871473
"NCZ42","OUT046",3847.7674544449
"DRI47","OUT019",631.237835461971
"FDW40","OUT013",2323.54557651249
"FDN34","OUT046",2783.25459653491
"FDS01","OUT035",3077.25760120866
"NCG55","OUT045",1854.95893456627
"FDC11","OUT035",1473.36502338836
"FDX35","OUT018",3274.30904367752
"NCB06","OUT046",2638.16162833294
"FDR09","OUT019",1048.74026216079
"FDC53","OUT017",1604.71803359345
"FDY45","OUT013",4271.82474888647
"FDA22","OUT010",638.977143206751
"FDE02","OUT035",1604.10878903761
"FDW21","OUT045",1574.15167224379
"FDV34","OUT046",1188.81929668283
"FDS59","OUT049",1825.58190098056
"NCW17","OUT017",2189.2495637334
"NCK54","OUT046",1919.21338137001
"FDG17","OUT019",1013.37838122722
"FDG35","OUT017",3031.79673838156
"FDD08","OUT010",126.379182217484
"NCO07","OUT017",3578.02239876105
"FDJ10","OUT010",459.460681197235
"FDW36","OUT017",1759.07183854999
"FDW21","OUT010",363.221258446314
"FDY19","OUT017",2007.61784166722
"DRE03","OUT013",776.560300527046
"NCC55","OUT049",630.455400630659
"FDH52","OUT010",228.71020499268
"FDO09","OUT017",4553.93999686563
"FDU43","OUT045",3925.89874981661
"FDX09","OUT010",646.586468299976
"FDH40","OUT019",324.054513195872
"FDW58","OUT017",1729.26700016553
"FDC47","OUT017",3903.69997333883
"NCR41","OUT035",1594.26862082914
"DRG49","OUT035",4276.10626454943
"FDC52","OUT027",4022.57310486527
"FDY13","OUT046",1228.65634428612
"FDY35","OUT013",714.521104217584
"FDI35","OUT017",3227.58137076017
"NCU18","OUT049",2365.65524575556
"FDY33","OUT018",2282.79051641654
"FDC15","OUT027",4138.25700970245
"FDU01","OUT049",3228.14901872715
"NCU42","OUT046",2785.38221230248
"NCV29","OUT018",2675.72238250666
"NCY30","OUT017",3215.29996268792
"FDQ46","OUT049",1875.71152335933
"FDG58","OUT027",4097.01520629996
