"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1775.76448186251
"FDW14","OUT017",1324.68654590047
"NCN55","OUT010",701.171764144015
"FDQ58","OUT017",2835.50820380916
"FDY38","OUT027",6381.29858401794
"FDH56","OUT046",1916.74030784633
"FDL48","OUT018",725.807192469869
"FDC48","OUT027",2060.61257760374
"FDN33","OUT045",1461.12829801752
"FDA36","OUT017",3303.85815090545
"FDT44","OUT017",1997.42473640312
"FDQ56","OUT045",1411.36104768149
"NCC54","OUT019",853.187733990881
"FDU11","OUT049",2207.43499745455
"DRL59","OUT013",819.166005919124
"FDM24","OUT049",2691.4319343777
"FDI57","OUT045",3694.52945482849
"DRC12","OUT018",3050.27845230066
"NCM42","OUT027",2979.27090801969
"FDA46","OUT010",639.414271754977
"FDA31","OUT013",2924.9914993768
"NCJ31","OUT035",4090.87777034772
"FDG52","OUT046",788.554917859454
"NCL19","OUT019",444.030820954
"FDS10","OUT035",3283.48652905005
"FDX22","OUT010",654.461694442484
"NCF19","OUT035",763.811141097751
"NCE06","OUT046",2653.02742681188
"DRC27","OUT046",3930.16481650432
"FDE21","OUT035",2049.80107221039
"NCR42","OUT019",100.499132916735
"FDX51","OUT018",2794.75349927816
"NCR06","OUT018",518.916557931592
"FDU31","OUT027",6157.03893341468
"FDU59","OUT017",2624.83565400332
"FDR03","OUT027",5421.83157001475
"FDS49","OUT027",2252.81311689813
"FDD48","OUT010",295.694728049267
"NCF18","OUT017",3186.87659411173
"NCD43","OUT027",2770.23946632488
"NCD54","OUT018",2045.4242287386
"FDY19","OUT010",326.050327305445
"NCY54","OUT017",2738.02046026529
"NCL19","OUT018",2134.27983478374
"FDP23","OUT010",750.407649219007
"FDC26","OUT013",1863.41568187331
"FDR14","OUT010",159.402535268761
"NCS41","OUT035",3088.86737268208
"FDF41","OUT035",4150.94212240039
"FDU34","OUT046",2039.2352421525
"DRH11","OUT046",891.406082708712
"FDM03","OUT013",1843.35185153861
"FDS31","OUT017",3184.20419025826
"FDJ20","OUT017",2078.61209181555
"FDV44","OUT027",5349.60617450041
"FDG02","OUT049",3032.5910394568
"FDA09","OUT013",3107.45105697572
"FDT04","OUT013",589.511740132935
"FDL58","OUT019",842.32362304011
"FDE52","OUT045",1397.37288469868
"FDW12","OUT035",2480.44765324681
"FDL51","OUT017",3640.97671296943
"NCY42","OUT027",3799.13686584315
"FDR07","OUT017",1591.32344617254
"FDN40","OUT045",2161.81325517006
"FDB35","OUT027",2389.53198338706
"FDA22","OUT017",2519.46146204028
"NCL06","OUT046",4254.42471080673
"FDI35","OUT013",2871.25346164657
"NCW42","OUT045",3689.97402264222
"NCX06","OUT049",3500.00615896595
"FDC37","OUT027",2819.53661488804
"FDZ14","OUT018",1768.45912305198
"DRG49","OUT049",4549.37004782179
"NCG06","OUT045",3930.15433897455
"DRC36","OUT045",2994.94547491184
"FDV21","OUT019",400.049408031198
"FDB53","OUT046",2482.69496470911
"DRP47","OUT019",801.798671151939
"FDA14","OUT013",2282.24206175457
"DRC24","OUT035",2566.57464423291
"FDW21","OUT018",1402.94246774949
"NCH29","OUT046",1681.15413720739
"FDU58","OUT013",3258.03756387972
"FDY27","OUT017",2750.296800215
"FDV56","OUT035",2024.59419948257
"FDT59","OUT046",4264.41270588491
"FDB23","OUT046",3799.20753462827
"FDR49","OUT045",725.193789909627
"FDB03","OUT010",746.243961887064
"FDN39","OUT045",2795.97255822009
"FDX02","OUT027",6191.48222053127
"FDQ16","OUT027",2942.5946292143
"FDU35","OUT018",1479.73305494617
"NCT29","OUT013",1791.3575298945
"FDZ27","OUT046",779.864400205377
"FDN57","OUT017",2431.28024516671
"FDA03","OUT018",2117.12193128057
"FDZ36","OUT045",3064.62551977223
"NCU05","OUT013",1219.59238725935
"FDT39","OUT018",1979.15648546468
"FDK60","OUT017",1829.73339255168
"FDZ25","OUT017",3019.14661319877
"FDG12","OUT046",2169.63643149705
"DRB01","OUT019",638.740154493782
"NCC43","OUT027",6662.14201833025
"FDX13","OUT019",800.684090827107
"FDM22","OUT049",897.815835583907
"FDJ03","OUT027",1326.49154114835
"FDU14","OUT018",3726.77030616691
"FDB33","OUT010",512.497581148582
"FDP27","OUT046",3125.65089499378
"FDO38","OUT010",213.933139154338
"FDE28","OUT027",6368.48799051648
"FDO27","OUT035",1669.3448952937
"DRL23","OUT027",2751.27398824812
"FDS28","OUT046",927.772382069303
"FDX24","OUT013",1435.93153617486
"FDZ02","OUT035",1466.98688827913
"FDL46","OUT045",1821.33000487635
"FDS60","OUT027",4682.37682060157
"NCO06","OUT017",605.769345280437
"FDO16","OUT035",1392.9373833747
"FDC60","OUT049",1375.9535081357
"FDA48","OUT018",3515.04864966621
"FDZ36","OUT027",4874.91979232314
"FDK27","OUT045",1808.2486842278
"FDW23","OUT018",498.358677533012
"FDM14","OUT018",1646.68522909539
"FDM14","OUT013",1543.32008313575
"FDW60","OUT018",2531.98496240054
"FDE21","OUT013",1855.53523807788
"NCM42","OUT035",1851.21631907435
"FDY59","OUT010",253.659703110017
"DRI49","OUT049",1392.86492583573
"FDT28","OUT019",430.078976921998
"FDQ22","OUT018",531.101266016739
"FDR60","OUT049",1292.70039856238
"FDC50","OUT019",328.009556887075
"FDV24","OUT013",2412.8038667683
"DRF48","OUT010",602.103952272608
"FDQ47","OUT046",643.205285859245
"DRN36","OUT049",1651.74649110409
"NCY06","OUT035",2190.73423552998
"FDE52","OUT035",1376.00486102621
"NCB54","OUT045",1980.87000443851
"NCF31","OUT035",2601.69230043033
"FDJ08","OUT027",5297.00245443682
"NCC07","OUT017",1800.90097112143
"NCD19","OUT027",1441.5012334885
"FDL46","OUT049",2058.38249711523
"FDM20","OUT045",4364.92974477642
"NCI06","OUT010",565.883913091163
"DRM11","OUT035",4709.87083615786
"NCH07","OUT018",2518.51077505467
"FDS23","OUT013",2094.363653596
"FDO49","OUT018",675.322985947109
"FDS35","OUT049",1080.85432702782
"DRK39","OUT045",1293.53456046689
"DRI39","OUT049",906.465736093492
"FDV04","OUT017",2643.21035915021
"NCN14","OUT035",3044.00393632837
"FDH08","OUT013",4065.89751626184
"FDS20","OUT046",2979.28142090152
"FDV40","OUT049",1216.52378298482
"FDZ48","OUT010",307.595341548563
"FDS24","OUT027",2316.14581347064
"FDK44","OUT049",3071.68080018213
"FDS48","OUT045",2452.77048027478
"FDK26","OUT010",538.73825903216
"FDD23","OUT045",3368.55581056221
"NCH54","OUT017",2692.13651399551
"NCP14","OUT010",315.601356810834
"FDM60","OUT010",110.102304895818
