"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1745.18618157139
"FDW14","OUT017",1473.10470045501
"NCN55","OUT010",864.716039464117
"FDQ58","OUT017",2702.89078932584
"FDY38","OUT027",6410.90673464539
"FDH56","OUT046",1934.68602764306
"FDL48","OUT018",719.49773928858
"FDC48","OUT027",2225.27475347414
"FDN33","OUT045",1494.8432577241
"FDA36","OUT017",3185.33414771602
"FDT44","OUT017",2004.22338612262
"FDQ56","OUT045",1372.11909937073
"NCC54","OUT019",866.609780001542
"FDU11","OUT049",2056.8179846334
"DRL59","OUT013",848.540174675084
"FDM24","OUT049",2560.77796146896
"FDI57","OUT045",3579.370692701
"DRC12","OUT018",2853.16294774387
"NCM42","OUT027",2925.94684631884
"FDA46","OUT010",654.238976873497
"FDA31","OUT013",2913.30422959292
"NCJ31","OUT035",4036.96260249255
"FDG52","OUT046",778.741202326631
"NCL19","OUT019",511.440186310125
"FDS10","OUT035",3143.34584316406
"FDX22","OUT010",749.323420406415
"NCF19","OUT035",785.322933851803
"NCE06","OUT046",2666.29495026556
"DRC27","OUT046",4058.47628627748
"FDE21","OUT035",1986.1166573102
"NCR42","OUT019",108.320323293277
"FDX51","OUT018",2865.69011673408
"NCR06","OUT018",545.171766673268
"FDU31","OUT027",6174.22204287556
"FDU59","OUT017",2812.23538736787
"FDR03","OUT027",5490.53969514615
"FDS49","OUT027",2200.98321265488
"FDD48","OUT010",392.189597716305
"NCF18","OUT017",3342.52714474076
"NCD43","OUT027",2772.40492247224
"NCD54","OUT018",2068.07852394542
"FDY19","OUT010",408.811765405389
"NCY54","OUT017",3019.86335909081
"NCL19","OUT018",2165.86111559133
"FDP23","OUT010",776.950261207316
"FDC26","OUT013",1835.39929011508
"FDR14","OUT010",180.901654795601
"NCS41","OUT035",3200.89915834324
"FDF41","OUT035",4202.60307621559
"FDU34","OUT046",2054.64858793383
"DRH11","OUT046",926.894553581732
"FDM03","OUT013",1713.39599029057
"FDS31","OUT017",3202.93078274091
"FDJ20","OUT017",2071.83209310768
"FDV44","OUT027",5316.22878824937
"FDG02","OUT049",3167.32702914584
"FDA09","OUT013",3059.24706308778
"FDT04","OUT013",626.092906521992
"FDL58","OUT019",977.806180950993
"FDE52","OUT045",1395.55010219534
"FDW12","OUT035",2502.70574635917
"FDL51","OUT017",3695.01652160048
"NCY42","OUT027",3789.98803223984
"FDR07","OUT017",1639.48658834727
"FDN40","OUT045",2482.07930596436
"FDB35","OUT027",2475.29681243228
"FDA22","OUT017",2838.9546300191
"NCL06","OUT046",4355.03607827378
"FDI35","OUT013",3086.44665153845
"NCW42","OUT045",3617.39220639187
"NCX06","OUT049",3144.33373947845
"FDC37","OUT027",2886.00460110977
"FDZ14","OUT018",1774.19371769096
"DRG49","OUT049",4271.65549282934
"NCG06","OUT045",4303.23819626835
"DRC36","OUT045",2985.68081691317
"FDV21","OUT019",432.982489741024
"FDB53","OUT046",2442.30285111458
"DRP47","OUT019",745.489688159432
"FDA14","OUT013",2444.71061558968
"DRC24","OUT035",2599.67623833277
"FDW21","OUT018",1394.93811417885
"NCH29","OUT046",1594.5450576087
"FDU58","OUT013",3155.09677805444
"FDY27","OUT017",2983.10550662345
"FDV56","OUT035",1856.78217039548
"FDT59","OUT046",3839.34858480246
"FDB23","OUT046",3605.17847703758
"FDR49","OUT045",729.455791021407
