"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1553.39051005058
"FDW14","OUT017",1189.71095668945
"NCN55","OUT010",636.661884039116
"FDQ58","OUT017",2253.57648081207
"FDY38","OUT027",5686.2374030304
"FDH56","OUT046",1668.20569840851
"FDL48","OUT018",594.23767899189
"FDC48","OUT027",1452.02103405762
"FDN33","OUT045",1256.897991576
"FDA36","OUT017",2716.67064697113
"FDT44","OUT017",1685.25668555374
"FDQ56","OUT045",1120.98902714195
"NCC54","OUT019",817.911193109798
"FDU11","OUT049",1741.69269044266
"DRL59","OUT013",689.297645430946
"FDM24","OUT049",2179.68559793129
"FDI57","OUT045",3335.00622758026
"DRC12","OUT018",2389.32300479584
"NCM42","OUT027",2531.06175787964
"FDA46","OUT010",527.304746123886
"FDA31","OUT013",2489.59167755127
"NCJ31","OUT035",3382.73099886703
"FDG52","OUT046",671.55458268528
"NCL19","OUT019",354.265414771557
"FDS10","OUT035",2597.91172809334
"FDX22","OUT010",570.408947208404
"NCF19","OUT035",669.630236601448
"NCE06","OUT046",2261.086463097
"DRC27","OUT046",3428.00139295311
"FDE21","OUT035",1678.49739050369
"NCR42","OUT019",55.6550953137875
"FDX51","OUT018",2388.66209885483
"NCR06","OUT018",284.93961257782
"FDU31","OUT027",5432.71400349426
"FDU59","OUT017",2361.07043962555
"FDR03","OUT027",4610.37840110779
"FDS49","OUT027",1981.62207900391
"FDD48","OUT010",263.396851088715
"NCF18","OUT017",2762.04728618774
"NCD43","OUT027",2050.1910588089
"NCD54","OUT018",1756.81692910042
"FDY19","OUT010",241.229210475826
"NCY54","OUT017",2452.48688290215
"NCL19","OUT018",1774.80922347832
"FDP23","OUT010",591.439381793499
"FDC26","OUT013",1550.02305284672
"FDR14","OUT010",142.681481379175
"NCS41","OUT035",2634.26459328003
"FDF41","OUT035",3498.71859758377
"FDU34","OUT046",1778.6426665947
"DRH11","OUT046",802.674573303795
"FDM03","OUT013",1421.53999941959
"FDS31","OUT017",2602.2240489933
"FDJ20","OUT017",1742.10565071259
"FDV44","OUT027",4451.99314542084
"FDG02","OUT049",2744.67282541351
"FDA09","OUT013",2495.28648178101
"FDT04","OUT013",515.295025094032
"FDL58","OUT019",668.423585790634
"FDE52","OUT045",1183.48499114056
"FDW12","OUT035",2173.11908078003
"FDL51","OUT017",3090.31840237656
"NCY42","OUT027",3177.32574604034
"FDR07","OUT017",1378.56675708847
"FDN40","OUT045",2070.97603803463
"FDB35","OUT027",2228.59619619141
"FDA22","OUT017",2013.10096336994
"NCL06","OUT046",3678.49130797234
"FDI35","OUT013",2517.47192936707
"NCW42","OUT045",3006.04667809525
"NCX06","OUT049",2617.90133526001
"FDC37","OUT027",2260.77698132515
"FDZ14","OUT018",1521.1562880722
"DRG49","OUT049",3525.30221155586
"NCG06","OUT045",3475.56346502438
"DRC36","OUT045",2474.60734441853
"FDV21","OUT019",352.062651448059
"FDB53","OUT046",2041.58345904465
"DRP47","OUT019",461.766583310175
"FDA14","OUT013",2107.54881852722
"DRC24","OUT035",2219.64651563339
"FDW21","OUT018",1131.40645790405
"NCH29","OUT046",1386.58673033066
"FDU58","OUT013",2587.1712783474
"FDY27","OUT017",2553.38845224152
"FDV56","OUT035",1569.19484878769
"FDT59","OUT046",3267.53308476105
"FDB23","OUT046",3171.73858670864
"FDR49","OUT045",606.995627648163
"FDB03","OUT010",642.611914266348
"FDN39","OUT045",2248.39666552963
"FDX02","OUT027",5148.83721828156
"FDQ16","OUT027",2487.22034361877
"FDU35","OUT018",1179.73674300194
"NCT29","OUT013",1679.94256477089
"FDZ27","OUT046",684.887350258827
"FDN57","OUT017",1999.51660296707
"FDA03","OUT018",1809.96760250778
"FDZ36","OUT045",2518.8635066185
"NCU05","OUT013",1089.6267480154
"FDT39","OUT018",1722.67727199402
"FDK60","OUT017",1384.22573678741
"FDZ25","OUT017",2460.6420081749
"FDG12","OUT046",1758.57904348488
"DRB01","OUT019",503.468650965214
"NCC43","OUT027",5782.6040879509
"FDX13","OUT019",654.715672148514
"FDM22","OUT049",746.443717781067
"FDJ03","OUT027",1122.06605538788
"FDU14","OUT018",3104.75954236984
"FDB33","OUT010",386.359098203278
"FDP27","OUT046",2671.07330127525
"FDO38","OUT010",197.836081056404
"FDE28","OUT027",5633.72291406555
"FDO27","OUT035",1331.91859369888
"DRL23","OUT027",2407.35132674408
"FDS28","OUT046",787.164456402969
"FDX24","OUT013",1185.1494388916
"FDZ02","OUT035",1372.3467210228
"FDL46","OUT045",1535.24566301708
"FDS60","OUT027",4001.48259853745
"NCO06","OUT017",523.489979142952
"FDO16","OUT035",1204.08418023586
"FDC60","OUT049",1190.14149897461
"FDA48","OUT018",3008.49342963409
"FDZ36","OUT027",4172.898604599
"FDK27","OUT045",1584.19904069023
"FDW23","OUT018",382.652988955307
"FDM14","OUT018",1349.36571457634
"FDM14","OUT013",1452.52379931869
"FDW60","OUT018",2179.03545034218
"FDE21","OUT013",1581.01298057098
"NCM42","OUT035",1575.41058835297
"FDY59","OUT010",217.029066141987
"DRI49","OUT049",1144.023746838
"FDT28","OUT019",372.321361713409
