"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1763.8846154213
"FDW14","OUT017",1432.78000185471
"NCN55","OUT010",616.355056842184
"FDQ58","OUT017",2626.32365112305
"FDY38","OUT027",6724.76497671127
"FDH56","OUT046",1900.23747875519
"FDL48","OUT018",710.95719068737
"FDC48","OUT027",1706.62108449707
"FDN33","OUT045",1493.00632791061
"FDA36","OUT017",3308.02021894608
"FDT44","OUT017",1941.88078497086
"FDQ56","OUT045",1311.64818085556
"NCC54","OUT019",891.680841607571
"FDU11","OUT049",1983.94582275467
"DRL59","OUT013",806.045592529678
"FDM24","OUT049",2537.94112171097
"FDI57","OUT045",3955.18659817047
"DRC12","OUT018",2836.9858324749
"NCM42","OUT027",2936.06796799011
"FDA46","OUT010",591.921238136673
"FDA31","OUT013",2816.72459912109
"NCJ31","OUT035",3866.24664018631
"FDG52","OUT046",774.377608069611
"NCL19","OUT019",403.84168185997
"FDS10","OUT035",3124.57238656387
"FDX22","OUT010",641.042262057495
"NCF19","OUT035",781.096607416534
"NCE06","OUT046",2612.07042238693
"DRC27","OUT046",3982.80719411926
"FDE21","OUT035",1912.38828985138
"NCR42","OUT019",72.8483466887474
"FDX51","OUT018",2877.22517521172
"NCR06","OUT018",310.75837540741
"FDU31","OUT027",6366.87884063187
"FDU59","OUT017",2744.21863912659
"FDR03","OUT027",5269.62884636307
"FDS49","OUT027",2300.17435437775
"FDD48","OUT010",290.731989387894
"NCF18","OUT017",3228.07856218872
"NCD43","OUT027",2436.1348928009
"NCD54","OUT018",2078.13154179916
"FDY19","OUT010",265.632836210632
"NCY54","OUT017",2786.9111064415
"NCL19","OUT018",2203.49087213039
"FDP23","OUT010",664.67687968483
"FDC26","OUT013",1752.47482900314
"FDR14","OUT010",144.118309022379
"NCS41","OUT035",3168.2948723999
"FDF41","OUT035",4125.26017477035
"FDU34","OUT046",2055.17105625458
"DRH11","OUT046",925.573634905243
"FDM03","OUT013",1666.64169898453
"FDS31","OUT017",3129.758921064
"FDJ20","OUT017",2007.38648154144
"FDV44","OUT027",5286.99342202225
"FDG02","OUT049",2990.44594421883
"FDA09","OUT013",2996.15350131607
"FDT04","OUT013",594.616991447067
"FDL58","OUT019",748.579471331215
"FDE52","OUT045",1384.77353311577
"FDW12","OUT035",2663.06350764008
"FDL51","OUT017",3611.73779860153
"NCY42","OUT027",3624.60528546715
"FDR07","OUT017",1588.48934962692
"FDN40","OUT045",2391.14967454662
"FDB35","OUT027",2575.68073537903
"FDA22","OUT017",2872.63741438827
"NCL06","OUT046",4273.83771634827
"FDI35","OUT013",3022.79212856331
"NCW42","OUT045",3491.33059792404
"NCX06","OUT049",3079.7930354187
"FDC37","OUT027",2713.64371187325
"FDZ14","OUT018",1773.71375021515
"DRG49","OUT049",4074.06681680222
"NCG06","OUT045",4036.64426067905
"DRC36","OUT045",2850.42971595726
"FDV21","OUT019",458.129539552307
"FDB53","OUT046",2379.63566165771
"DRP47","OUT019",497.094927532315
"FDA14","OUT013",2548.67603860474
"DRC24","OUT035",2551.16207797928
"FDW21","OUT018",1270.7519375351
"NCH29","OUT046",1579.44795119247
"FDU58","OUT013",3054.42405523911
"FDY27","OUT017",2967.74550473938
"FDV56","OUT035",1844.07838403931
"FDT59","OUT046",3753.07486983032
"FDB23","OUT046",3635.26981358261
"FDR49","OUT045",710.234169572449
"FDB03","OUT010",693.863881688833
"FDN39","OUT045",2595.99959453659
"FDX02","OUT027",6275.40197392197
"FDQ16","OUT027",2885.21129818268
"FDU35","OUT018",1411.45933724403
"NCT29","OUT013",1929.37158884239
"FDZ27","OUT046",805.619312896729
"FDN57","OUT017",2336.7489241684
"FDA03","OUT018",2215.10108313656
"FDZ36","OUT045",3056.69628238678
"NCU05","OUT013",1257.35849785652
"FDT39","OUT018",1960.45434162102
"FDK60","OUT017",1616.17318191071
"FDZ25","OUT017",2828.15148021317
"FDG12","OUT046",1994.97836006317
"DRB01","OUT019",622.813778918266
"NCC43","OUT027",6454.57353022804
"FDX13","OUT019",728.073364850712
"FDM22","OUT049",873.111133850098
"FDJ03","OUT027",1295.96721096649
"FDU14","OUT018",3686.46634099483
"FDB33","OUT010",438.871855391121
"FDP27","OUT046",3103.37387324524
"FDO38","OUT010",207.729538197184
"FDE28","OUT027",6359.45706859818
"FDO27","OUT035",1499.62543231735
"DRL23","OUT027",2670.70617631187
"FDS28","OUT046",907.688733906555
"FDX24","OUT013",1481.47951593857
"FDZ02","OUT035",1581.32215152512
"FDL46","OUT045",1823.64162019844
"FDS60","OUT027",4957.88792708206
"NCO06","OUT017",542.393468437958
"FDO16","OUT035",1432.22931480408
"FDC60","OUT049",1435.9149446846
"FDA48","OUT018",3356.15693200951
"FDZ36","OUT027",4938.59928569031
"FDK27","OUT045",1841.47803518486
"FDW23","OUT018",435.712179860687
"FDM14","OUT018",1586.40487857304
"FDM14","OUT013",1765.39587396469
"FDW60","OUT018",2608.23603126812
"FDE21","OUT013",1839.45638434982
